"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-02","-5.869153","54.607894","Holywood Road","BURG","BELFAST","335,665"
"2015-01","-5.895417","54.556383","Four Winds Park","BURG","BELFAST","335,665"
"2015-02","-5.712009","54.324682","St Patrick'S Avenue","CDAR",NA,NA
"2015-02","-5.889846","54.589702","Orby Chase","OTTH","BELFAST","335,665"
"2015-01","-7.457364","54.759805","Fyfin Road","ASBO","VICTORIA BRIDGE","318"
"2015-02","-5.958575","54.597045","Hawthorn Street","VECR","BELFAST","335,665"
"2015-02","-5.967502","54.609505","Ballygomartin Road","ASBO","BELFAST","335,665"
"2015-01","-6.748197","54.650454","Millburn Park","ASBO","COOKSTOWN","10,718"
"2015-02","-6.154380","54.640235","Dundesert Road","OTTH","CRUMLIN","5,126"
"2015-01","-5.931955","54.603844","Union Street","CDAR","COLERAINE","24,694"
"2015-02","-5.676833","54.599870","Donaghadee Road","OTTH","BANGOR","62,789"
"2015-02","-5.911809","54.590748","Park Parade","OTTH","LISBURN","121,654"
"2015-01","-5.910685","54.586110","Ravenhill Court","SHOP","BELFAST","335,665"
"2015-01","-6.267384","54.351244","Castlewellan Road","VISO","DROMARA","601"
